Price_USD,Comuna,Dorms,Baths,Built Area,Total Area,Parking
509695,QuintaNormal,7,4.0,384.0,732.0,3.0
130760,PedroAguirreCerda,2,1.0,112.0,145.0,1.0
159557,EstaciónCentral,3,1.0,59.0,243.0,2.0
93400,Colina,3,1.0,103.0,73.0,1.0
66002,Colina,2,1.0,57.0,67.0,1.0
117061,EstaciónCentral,2,1.0,72.0,131.0,
93400,Colina,3,1.0,70.0,80.0,2.0
130760,LaFlorida,2,1.0,50.0,120.0,1.0
94645,Maipú,3,1.0,72.0,72.0,1.0
94645,Maipú,3,1.0,46.0,90.0,1.0
112080,Maipú,3,1.0,100.0,134.0,3.0
93400,SanBernardo,3,2.0,50.0,88.0,1.0
190582,Maipú,3,2.0,98.0,130.0,2.0
164384,QuintaNormal,4,1.0,69.0,200.0,2.0
247821,Santiago,7,3.0,162.0,185.0,
98381,PuenteAlto,2,1.0,,,2.0
465374,LaFlorida,7,3.0,173.0,850.0,3.0
597758,LaFlorida,5,6.0,240.0,600.0,2.0
176837,Santiago,3,2.0,100.0,163.0,2.0
367867,LaFlorida,3,3.0,105.0,280.0,2.0
487534,LaFlorida,5,3.0,150.0,400.0,2.0
1506924,LasCondes,5,5.0,360.0,1150.0,4.0
199446,Lampa,3,3.0,80.0,156.0,2.0
161773,Lampa,3,2.0,68.0,221.0,1.0
93400,Quilicura,2,2.0,70.0,78.0,
62267,PuenteAlto,3,1.0,31.0,73.0,
217933,Santiago,3,3.0,94.0,191.0,4.0
186800,QuintaNormal,2,1.0,96.0,247.0,1.0
199253,SanBernardo,3,2.0,91.0,268.0,2.0
93400,PuenteAlto,3,1.0,,87.0,1.0
105853,PuenteAlto,5,2.0,,105.0,1.0
93400,LaPintana,3,1.0,62.0,88.0,1.0
93400,LaPintana,3,2.0,90.0,80.0,1.0
361146,PuenteAlto,5,3.0,,286.0,2.0
199253,PuenteAlto,5,2.0,165.0,315.0,1.0
376997,PuenteAlto,2,1.0,83.0,1000.0,4.0
280199,Santiago,7,2.0,,572.0,
174346,Renca,5,3.0,,120.0,2.0
332410,QuintaNormal,4,3.0,198.0,354.0,1.0
224159,Santiago,3,2.0,79.0,114.0,
149440,Santiago,4,1.0,131.0,138.0,2.0
297634,Santiago,5,4.0,250.0,190.0,1.0
553573,Huechuraba,5,5.0,156.0,530.0,4.0
155666,Maipú,3,2.0,80.0,100.0,2.0
81108,SanBernardo,3,1.0,52.0,75.0,1.0
143213,Maipú,3,1.0,76.0,120.0,2.0
325762,SanMiguel,3,3.0,113.0,130.0,1.0
331967,Ñuñoa,4,3.0,109.0,119.0,1.0
199253,LaFlorida,3,1.0,84.0,200.0,2.0
199446,Lampa,3,2.0,88.0,158.0,3.0
323545,SanMiguel,5,2.0,200.0,300.0,3.0
143213,LaGranja,3,2.0,61.0,163.0,2.0
352354,Pudahuel,3,3.0,145.0,454.0,2.0
175069,Maipú,4,3.0,160.0,162.0,2.0
150685,Maipú,3,2.0,100.0,136.0,1.0
173101,Maipú,5,2.0,127.0,112.0,2.0
113325,Maipú,3,1.0,55.0,100.0,1.0
237119,Independencia,5,2.0,120.0,240.0,
