price_usd;comuna;habitaciones;ba�o;area_construida;area_total
509695;QuintaNormal;7;4;384;732
130760;PedroAguirreCerda;2;1;112;145
159557;EstaciónCentral;3;1;59;243
93400;Colina;3;1;103;73
66002;Colina;2;1;57;67
117061;EstaciónCentral;2;1;72;131
93400;Colina;3;1;70;80
130760;LaFlorida;2;1;50;120
94645;Maipú;3;1;72;72
94645;Maipú;3;1;46;90
112080;Maipú;3;1;100;134
93400;SanBernardo;3;2;50;88
190582;Maipú;3;2;98;130
164384;QuintaNormal;4;1;69;200
247821;Santiago;7;3;162;185
98381;PuenteAlto;2;1;0;0
465374;LaFlorida;7;3;173;850
597758;LaFlorida;5;6;240;600
176837;Santiago;3;2;100;163
367867;LaFlorida;3;3;105;280
487534;LaFlorida;5;3;150;400
1506924;LasCondes;5;5;360;1150
199446;Lampa;3;3;80;156
161773;Lampa;3;2;68;221
93400;Quilicura;2;2;70;78
62267;PuenteAlto;3;1;31;73
217933;Santiago;3;3;94;191
186800;QuintaNormal;2;1;96;247
199253;SanBernardo;3;2;91;268
93400;PuenteAlto;3;1;0;87
105853;PuenteAlto;5;2;0;105
93400;LaPintana;3;1;62;88
93400;LaPintana;3;2;90;80
361146;PuenteAlto;5;3;0;286
199253;PuenteAlto;5;2;165;315
376997;PuenteAlto;2;1;83;1000
280199;Santiago;7;2;0;572
174346;Renca;5;3;0;120
332410;QuintaNormal;4;3;198;354
224159;Santiago;3;2;79;114
149440;Santiago;4;1;131;138
297634;Santiago;5;4;250;190
553573;Huechuraba;5;5;156;530
155666;Maipú;3;2;80;100
81108;SanBernardo;3;1;52;75
143213;Maipú;3;1;76;120
325762;SanMiguel;3;3;113;130
331967;Ñuñoa;4;3;109;119
199253;LaFlorida;3;1;84;200
199446;Lampa;3;2;88;158
323545;SanMiguel;5;2;200;300
143213;LaGranja;3;2;61;163
352354;Pudahuel;3;3;145;454
175069;Maipú;4;3;160;162
150685;Maipú;3;2;100;136
173101;Maipú;5;2;127;112
113325;Maipú;3;1;55;100
237119;Independencia;5;2;120;240
175069;Buin;4;2;101;168
415734;Pudahuel;4;3;160;400
314681;Peñalolén;4;3;112;196
105853;Talagante;2;2;80;138
105853;LaFlorida;2;1;65;85
229584;Quilicura;3;2;90;149
296953;Pudahuel;3;3;110;190
385595;Pudahuel;5;3;165;400
237119;Maipú;4;4;130;130
432133;Pudahuel;4;3;140;550
363435;Pudahuel;3;3;130;300
365651;Pudahuel;3;3;125;850
370083;Pudahuel;4;3;120;420
300942;Pudahuel;3;3;130;170
664819;LaFlorida;16;12;389;890
224159;Maipú;5;3;136;153
209215;PadreHurtado;4;3;130;180
136862;Maipú;3;2;85;120
199253;PuenteAlto;3;3;85;180
193026;Tiltil;7;3;250;1000
554016;LoBarnechea;6;4;176;275
190582;Maipú;4;3;107;145
211706;Conchalí;6;2;0;0
112080;Santiago;4;2;0;85
169365;SanBernardo;3;3;92;148
148194;Maipú;5;2;113;108
168120;Maipú;4;3;93;124
336842;LaFlorida;5;3;152;200
217933;Maipú;4;2;110;130
487534;Providencia;4;2;229;248
404732;Buin;4;2;127;450
105853;Santiago;4;2;70;80
440997;Colina;3;3;118;350
101939;PadreHurtado;3;2;53;65
205479;PuenteAlto;4;2;110;150
201743;PuenteAlto;3;2;80;140
1285318;LaReina;7;6;260;700
531412;Huechuraba;4;3;170;450
190582;Conchalí;5;2;248;292
173101;Recoleta;6;2;140;0
161893;Lampa;2;1;60;100
221606;Maipú;5;3;100;166
234903;Peñaflor;3;3;90;120
99626;SanBernardo;4;3;0;0
380720;Huechuraba;4;4;140;250
553972;Huechuraba;5;5;180;580
143213;ElMonte;3;3;100;170
394460;Ñuñoa;4;3;145;285
325274;Providencia;4;3;94;104
49813;Santiago;3;1;37;32
123288;Macul;2;1;70;128
69738;PedroAguirreCerda;3;1;65;70
883323;Santiago;7;3;3467;752
712199;Ñuñoa;6;2;157;408
6;Santiago;4;3;82;140
186800;Peñalolén;5;4;130;175
398892;Buin;4;3;188;350
246575;EstaciónCentral;7;3;180;120
749030;Colina;4;3;270;580
170610;Conchalí;6;2;156;192
170637;PuenteAlto;3;1;85;185
228518;SanBernardo;4;3;108;182
697385;Buin;6;3;550;2000
330012;Macul;4;2;144;221
14;Providencia;3;2;229;248
167534;Maipú;3;3;76;118
440847;CaleradeTango;3;3;218;5000
186800;Independencia;3;1;76;145
149440;Maipú;4;1;170;220
168421;Buin;3;2;89;212
171967;PadreHurtado;3;2;74;140
94521;LaFlorida;6;2;110;154
366980;Santiago;5;3;263;23000
664819;LasCondes;4;2;170;468
99626;PadreHurtado;5;3;106;168
177285;Lampa;3;3;84;133
96886;SanBernardo;2;1;78;70
223823;LaFlorida;3;2;92;179
172853;EstaciónCentral;3;1;77;171
1196675;LaFlorida;4;4;182;1600
1152354;Santiago;5;3;254;490
143213;PedroAguirreCerda;4;2;90;100
127823;PuenteAlto;3;1;61;108
81569;Paine;2;1;54;97
143213;Paine;3;1;60;1164
576177;Peñalolén;4;3;140;260
89664;PadreHurtado;3;2;65;90
174346;PuenteAlto;3;3;92;172
199253;Recoleta;6;3;0;250
314238;SanBernardo;3;2;83;750
509695;LaReina;5;4;150;250
144399;SanBernardo;3;2;63;107
301385;Peñalolén;3;2;98;227
261519;LaFlorida;4;2;153;173
257064;Buin;4;3;130;216
120797;Maipú;3;3;79;106
367867;LaCisterna;5;2;150;330
93400;Melipilla;3;1;43;198
398892;LaFlorida;4;4;177;259
155666;Macul;3;1;81;160
130760;LaReina;4;1;70;135
598337;Colina;3;3;167;400
314681;LaFlorida;4;2;100;240
403324;Colina;5;4;139;330
465374;SanBernardo;10;4;200;662
282690;Quilicura;5;3;178;216
188366;Independencia;7;2;197;225
332410;LaFlorida;3;3;121;290
178082;Recoleta;4;2;160;300
93400;PuenteAlto;2;1;56;80
86550;Buin;2;1;54;82
174346;PuenteAlto;3;2;90;110
1130193;LoBarnechea;5;6;320;1040
93400;PadreHurtado;2;1;60;90
149440;Peñaflor;3;3;130;150
80324;PuenteAlto;5;2;130;115
510005;Maipú;5;2;0;700
98381;EstaciónCentral;3;2;80;160
255293;Santiago;7;3;161;185
298879;Santiago;5;3;190;250
109589;Pudahuel;3;2;65;90
92154;Maipú;4;2;50;69
161893;ElBosque;5;3;0;97
558448;LaReina;3;2;228;451
299169;Buin;4;3;119;220
283656;LasCondes;2;1;60;80
161893;Lampa;3;1;85;180
230386;SanRamón;3;2;0;214
339975;Peñalolén;4;2;250;500
224159;LoPrado;8;8;139;282
356786;Peñalolén;5;3;131;241
149440;Maipú;2;2;75;149
149440;Maipú;4;2;82;104
149440;PuenteAlto;3;3;84;120
1063711;LasCondes;7;5;0;800
926315;LoBarnechea;4;3;225;700
188366;SanBernardo;4;2;85;155
146438;PuenteAlto;3;2;102;86
443213;LaFlorida;3;2;140;1000
775623;Peñalolén;4;3;200;2000
74720;PuenteAlto;3;1;0;0
57285;LaGranja;3;1;0;0
155666;PuenteAlto;3;2;0;0
155666;PuenteAlto;3;2;0;154
220299;Ñuñoa;4;2;100;124
1196453;LoBarnechea;6;6;350;1000
222005;PuenteAlto;3;3;99;157
161893;PuenteAlto;3;1;75;102
174346;PuenteAlto;4;1;74;162
151930;Maipú;3;1;91;138
308033;Buin;3;3;112;240
538504;LaReina;5;4;140;220
252802;PuenteAlto;4;3;113;178
341274;PuenteAlto;4;3;122;374
115816;PuenteAlto;2;2;49;80
709141;Vitacura;3;2;140;310
259280;Quilicura;3;2;145;247
204234;PuenteAlto;3;2;89;181
840598;LaReina;4;3;150;210
598337;Peñalolén;5;4;220;340
211706;Santiago;2;1;85;100
94645;PuenteAlto;3;2;90;110
310249;Pudahuel;4;3;137;225
448319;LaCisterna;4;3;270;480
199253;LaCisterna;3;1;150;331
332410;Pudahuel;4;3;129;228
1617727;LoBarnechea;6;5;344;702
105853;Colina;2;1;52;91
456509;Colina;3;3;135;135
554016;Colina;6;4;170;610
108344;PadreHurtado;3;1;65;90
576177;Maipú;5;6;217;596
109589;PuenteAlto;4;2;80;100
199446;PadreHurtado;3;3;84;169
95890;Maipú;3;2;55;93
206094;Maipú;3;1;89;200
336842;Maipú;3;3;155;233
155666;Pudahuel;3;2;90;98
187036;PuenteAlto;4;3;90;200
589473;LasCondes;4;2;110;258
248864;PuenteAlto;5;3;178;264
193026;Ñuñoa;3;1;40;198
157917;PuenteAlto;4;3;80;105
332410;Huechuraba;3;3;107;180
273973;Conchalí;5;2;182;250
188366;LaFlorida;6;3;450;450
99723;PuenteAlto;3;1;62;74
250415;PuenteAlto;3;3;99;300
618282;LaFlorida;7;4;206;1000
356786;Santiago;4;2;119;182
97285;LoEspejo;3;1;74;160
161893;Maipú;4;2;84;90
69738;LaGranja;3;1;53;63
137396;PuenteAlto;3;1;56;90
1683766;LaReina;6;3;295;1150
1152354;Ñuñoa;11;4;567;702
143213;Maipú;3;2;62;100
186800;LaFlorida;3;2;65;105
686980;LasCondes;4;3;200;500
354570;LaReina;3;1;88;275
927771;LasCondes;6;5;180;542
1284431;LoBarnechea;7;5;300;5600
487534;LasCondes;3;2;122;226
325762;Providencia;3;1;91;91
398448;LaReina;4;2;119;165
1500276;LoBarnechea;6;7;520;832
788033;Providencia;4;3;281;500
554016;Vitacura;5;4;130;150
494182;LasCondes;3;3;113;253
81994;Quilicura;2;1;80;56
1595567;Vitacura;5;5;330;560
496399;LasCondes;3;2;75;229
252631;QuintaNormal;6;2;299;390
1573406;LasCondes;4;4;168;233
102117;PuenteAlto;4;2;48;123
135741;CaleradeTango;4;2;90;140
199253;Melipilla;3;3;140;160
155666;Recoleta;4;2;100;245
146949;Melipilla;6;3;120;140
80946;Lampa;2;1;55;70
531811;Talagante;3;3;181;5141
106371;SanBernardo;5;2;98;107
195014;LaFlorida;4;2;123;181
1905816;LoBarnechea;4;3;480;1499
327534;LasCondes;3;2;83;144
611634;Colina;4;0;270;4500
513684;Colina;5;4;178;495
686980;Colina;6;4;240;1110
309806;Colina;4;3;108;424
314681;Colina;4;3;115;350
390027;Colina;5;3;128;422
997229;Colina;7;5;435;5000
1365096;LasCondes;5;5;290;500
1320775;LasCondes;5;5;293;800
726869;Peñalolén;5;4;260;550
575734;Colina;4;4;188;389
1418281;Colina;7;4;345;3200
509695;LaFlorida;3;3;325;325
277008;Maipú;5;2;120;242
531856;Peñalolén;6;4;179;400
585041;Peñalolén;5;4;160;505
359002;Peñalolén;3;3;122;200
336842;Peñalolén;4;3;110;220
381163;LaFlorida;4;3;115;300
709141;Peñalolén;4;3;237;2002
1418281;LoBarnechea;5;5;350;750
376731;Ñuñoa;3;2;115;172
