price_usd;comuna;habitaciones;banio;area_construida;area_total
331967;Ñuñoa;4;3;109;119
394460;Ñuñoa;4;3;145;285
712199;Ñuñoa;6;2;157;408
220299;Ñuñoa;4;2;100;124
193026;Ñuñoa;3;1;40;198
1152354;Ñuñoa;11;4;567;702
376731;Ñuñoa;3;2;115;172
367372;Ñuñoa;4;2;87;144
192902;Ñuñoa;3;1;100;100
257064;Ñuñoa;2;2;70;0
593861;Ñuñoa;4;3;167;599
850260;Ñuñoa;5;3;229;317
316853;Ñuñoa;3;2;70;84
482659;Ñuñoa;3;2;99;127
478227;Ñuñoa;3;2;94;122
442770;Ñuñoa;2;2;93;124
438781;Ñuñoa;2;3;96;123
105853;Ñuñoa;3;1;75;75
689196;Ñuñoa;6;4;242;443
376731;Ñuñoa;3;3;93;121
485679;Ñuñoa;3;2;132;216
558448;Ñuñoa;5;3;167;228
465374;Ñuñoa;3;2;133;261
464930;Ñuñoa;5;3;127;176
460941;Ñuñoa;4;3;180;330
472687;Ñuñoa;3;1;65;328
966204;Ñuñoa;6;4;250;660
434349;Ñuñoa;4;2;119;163
310249;Ñuñoa;6;2;154;128
373101;Ñuñoa;4;2;136;215
576177;Ñuñoa;4;2;196;516
396232;Ñuñoa;3;2;106;225
367372;Ñuñoa;4;2;87;144
409972;Ñuñoa;3;2;100;180
997229;Ñuñoa;5;4;240;600
510585;Ñuñoa;3;2;114;246
487091;Ñuñoa;3;2;119;270
416620;Ñuñoa;4;2;190;408
376731;Ñuñoa;3;2;115;172
487490;Ñuñoa;5;4;172;234
678559;Ñuñoa;6;4;348;248
908587;Ñuñoa;6;5;259;425
655955;Ñuñoa;6;4;140;311
381163;Ñuñoa;4;2;150;190
421052;Ñuñoa;5;3;103;184
576177;Ñuñoa;7;7;370;400
487534;Ñuñoa;4;2;80;200
288088;Ñuñoa;3;2;137;175
735733;Ñuñoa;5;3;192;595
112080;Ñuñoa;2;1;120;120
168421;Ñuñoa;1;1;37;37
363435;Ñuñoa;4;2;100;245
720221;Ñuñoa;2;1;120;709
531412;Ñuñoa;7;4;335;182
124533;Ñuñoa;3;1;121;98
74720;Ñuñoa;1;1;60;81
292521;Ñuñoa;3;2;139;139
259280;Ñuñoa;2;2;54;58
230386;Ñuñoa;3;2;85;171
348692;Ñuñoa;4;2;180;215
686980;Ñuñoa;5;2;200;400
292521;Ñuñoa;3;2;139;139
952908;Ñuñoa;6;4;361;668
1329639;Ñuñoa;4;3;352;734
398448;Ñuñoa;4;2;100;172
62267;Ñuñoa;2;1;30;56
978127;Ñuñoa;5;4;230;645
