price_usd;comuna;dorm;bath;built_area;total_area;parqking
509695;QuintaNormal;7;4;384;732;3
130760;PedroAguirreCerda;2;1;112;145;1
159557;EstacionCentral;3;1;59;243;2
93400;Colina;3;1;103;73;1
66002;Colina;2;1;57;67;1
117061;EstacionCentral;2;1;72;131;
93400;Colina;3;1;70;80;2
130760;LaFlorida;2;1;50;120;1
94645;Maipu;3;1;72;72;1
94645;Maipu;3;1;46;90;1
112080;Maipu;3;1;100;134;3
93400;SanBernardo;3;2;50;88;1
190582;Maipu;3;2;98;130;2
164384;QuintaNormal;4;1;69;200;2
247821;Santiago;7;3;162;185;
98381;PuenteAlto;2;1;;;2
465374;LaFlorida;7;3;173;850;3
597758;LaFlorida;5;6;240;600;2
176837;Santiago;3;2;100;163;2
367867;LaFlorida;3;3;105;280;2
487534;LaFlorida;5;3;150;400;2
1506924;LasCondes;5;5;360;1150;4
199446;Lampa;3;3;80;156;2
161773;Lampa;3;2;68;221;1
93400;Quilicura;2;2;70;78;
62267;PuenteAlto;3;1;31;73;
217933;Santiago;3;3;94;191;4
186800;QuintaNormal;2;1;96;247;1
199253;SanBernardo;3;2;91;268;2
93400;PuenteAlto;3;1;;87;1
105853;PuenteAlto;5;2;;105;1
93400;LaPintana;3;1;62;88;1
93400;LaPintana;3;2;90;80;1
361146;PuenteAlto;5;3;;286;2
199253;PuenteAlto;5;2;165;315;1
376997;PuenteAlto;2;1;83;1000;4
280199;Santiago;7;2;;572;
174346;Renca;5;3;;120;2
332410;QuintaNormal;4;3;198;354;1
224159;Santiago;3;2;79;114;
149440;Santiago;4;1;131;138;2
297634;Santiago;5;4;250;190;1
553573;Huechuraba;5;5;156;530;4
155666;Maipu;3;2;80;100;2
81108;SanBernardo;3;1;52;75;1
143213;Maipu;3;1;76;120;2
325762;SanMiguel;3;3;113;130;1
331967;Ñuñoa;4;3;109;119;1
199253;LaFlorida;3;1;84;200;2
199446;Lampa;3;2;88;158;3
323545;SanMiguel;5;2;200;300;3
143213;LaGranja;3;2;61;163;2
352354;Pudahuel;3;3;145;454;2
175069;Maipu;4;3;160;162;2
150685;Maipu;3;2;100;136;1
173101;Maipu;5;2;127;112;2
113325;Maipu;3;1;55;100;1
237119;Independencia;5;2;120;240;
175069;Buin;4;2;101;168;2
415734;Pudahuel;4;3;160;400;2
1595123;Peñalolén;7;7;450;4000;6
105853;Talagante;2;2;80;138;1
105853;LaFlorida;2;1;65;85;1
229584;Quilicura;3;2;90;149;2
296953;Pudahuel;3;3;110;190;1
385595;Pudahuel;5;3;165;400;2
237119;Maipu;4;4;130;130;1
432133;Pudahuel;4;3;140;550;2
363435;Pudahuel;3;3;130;300;3
365651;Pudahuel;3;3;125;850;2
370083;Pudahuel;4;3;120;420;2
300942;Pudahuel;3;3;130;170;1
664819;LaFlorida;16;12;389;890;3
224159;Maipu;5;3;136;153;2
209215;PadreHurtado;4;3;130;180;2
136862;Maipu;3;2;85;120;1
199253;PuenteAlto;3;3;85;180;2
193026;Tiltil;7;3;250;1000;8
554016;LoBarnechea;6;4;176;275;2
190582;Maipu;4;3;107;145;
211706;Conchalí;6;2;;;
112080;Santiago;4;2;;85;
169365;SanBernardo;3;3;92;148;1
148194;Maipu;5;2;113;108;2
168120;Maipu;4;3;93;124;
336842;LaFlorida;5;3;152;200;3
217933;Maipu;4;2;110;130;3
487534;Providencia;4;2;229;248;2
404732;Buin;4;2;127;450;4
105853;Santiago;4;2;70;80;1
440997;Colina;3;3;118;350;3
101939;PadreHurtado;3;2;53;65;1
205479;PuenteAlto;4;2;110;150;2
201743;PuenteAlto;3;2;80;140;1
1285318;LaReina;7;6;260;700;4
531412;Huechuraba;4;3;170;450;5
190582;Conchalí;5;2;248;292;2
173101;Recoleta;6;2;140;;
161893;Lampa;2;1;60;100;3
221606;Maipu;5;3;100;166;2
234903;Peñaflor;3;3;90;120;3
99626;SanBernardo;4;3;;;2
380720;Huechuraba;4;4;140;250;3
553972;Huechuraba;5;5;180;580;5
143213;ElMonte;3;3;100;170;2
394460;Ñuñoa;4;3;145;285;3
325274;Providencia;4;3;94;104;1
49813;Santiago;3;1;37;32;
123288;Macul;2;1;70;128;1
69738;PedroAguirreCerda;3;1;65;70;
883323;Santiago;7;3;3467;752;4
712199;Ñuñoa;6;2;157;408;6
;Santiago;4;3;82;140;4
1369528;Peñalolén;5;6;430;4350;6
398892;Buin;4;3;188;350;6
246575;EstacionCentral;7;3;180;120;2
749030;Colina;4;3;270;580;4
170610;Conchalí;6;2;156;192;1
170637;PuenteAlto;3;1;85;185;2
228518;SanBernardo;4;3;108;182;2
697385;Buin;6;3;550;2000;3
330012;Macul;4;2;144;221;3
;Providencia;3;2;229;248;2
167534;Maipu;3;3;76;118;2
440847;CaleradeTango;3;3;218;5000;6
186800;Independencia;3;1;76;145;1
149440;Maipu;4;1;170;220;1
168421;Buin;3;2;89;212;2
171967;PadreHurtado;3;2;74;140;1
94521;LaFlorida;6;2;110;154;1
366980;Santiago;5;3;263;23000;
664819;LasCondes;4;2;170;468;3
99626;PadreHurtado;5;3;106;168;2
177285;Lampa;3;3;84;133;2
96886;SanBernardo;2;1;78;70;2
223823;LaFlorida;3;2;92;179;2
172853;EstacionCentral;3;1;77;171;1
1196675;LaFlorida;4;4;182;1600;5
1152354;Santiago;5;3;254;490;4
143213;PedroAguirreCerda;4;2;90;100;1
127823;PuenteAlto;3;1;61;108;2
81569;Paine;2;1;54;97;1
143213;Paine;3;1;60;1164;
1263157;Peñalolén;3;3;187;2800;4
89664;PadreHurtado;3;2;65;90;1
174346;PuenteAlto;3;3;92;172;4
199253;Recoleta;6;3;;250;
314238;SanBernardo;3;2;83;750;6
509695;LaReina;5;4;150;250;2
144399;SanBernardo;3;2;63;107;2
1108032;Peñalolén;4;4;326;1900;3
261519;LaFlorida;4;2;153;173;2
257064;Buin;4;3;130;216;2
120797;Maipu;3;3;79;106;2
367867;LaCisterna;5;2;150;330;3
93400;Melipilla;3;1;43;198;2
398892;LaFlorida;4;4;177;259;3
155666;Macul;3;1;81;160;3
130760;LaReina;4;1;70;135;1
598337;Colina;3;3;167;400;3
314681;LaFlorida;4;2;100;240;2
403324;Colina;5;4;139;330;2
465374;SanBernardo;10;4;200;662;8
282690;Quilicura;5;3;178;216;1
188366;Independencia;7;2;197;225;
332410;LaFlorida;3;3;121;290;2
178082;Recoleta;4;2;160;300;2
93400;PuenteAlto;2;1;56;80;2
86550;Buin;2;1;54;82;1
174346;PuenteAlto;3;2;90;110;1
1130193;LoBarnechea;5;6;320;1040;6
93400;PadreHurtado;2;1;60;90;1
149440;Peñaflor;3;3;130;150;2
80324;PuenteAlto;5;2;130;115;2
510005;Maipu;5;2;;700;8
98381;EstacionCentral;3;2;80;160;1
255293;Santiago;7;3;161;185;
298879;Santiago;5;3;190;250;1
109589;Pudahuel;3;2;65;90;2
92154;Maipu;4;2;50;69;1
161893;ElBosque;5;3;;97;3
558448;LaReina;3;2;228;451;3
299169;Buin;4;3;119;220;2
283656;LasCondes;2;1;60;80;
161893;Lampa;3;1;85;180;3
230386;SanRamon;3;2;;214;1
1041550;Peñalolén;3;4;236;1500;2
224159;LoPrado;8;8;139;282;3
975068;Peñalolén;4;4;400;1861;3
149440;Maipu;2;2;75;149;1
149440;Maipu;4;2;82;104;1
149440;PuenteAlto;3;3;84;120;1
1063711;LasCondes;7;5;;800;4
926315;LoBarnechea;4;3;225;700;2
188366;SanBernardo;4;2;85;155;2
146438;PuenteAlto;3;2;102;86;1
443213;LaFlorida;3;2;140;1000;4
952908;Peñalolén;5;6;200;800;7
74720;PuenteAlto;3;1;;;1
57285;LaGranja;3;1;;;
155666;PuenteAlto;3;2;;;2
155666;PuenteAlto;3;2;;154;2
220299;Ñuñoa;4;2;100;124;1
1196453;LoBarnechea;6;6;350;1000;7
222005;PuenteAlto;3;3;99;157;2
161893;PuenteAlto;3;1;75;102;1
174346;PuenteAlto;4;1;74;162;2
151930;Maipu;3;1;91;138;1
308033;Buin;3;3;112;240;2
538504;LaReina;5;4;140;220;2
252802;PuenteAlto;4;3;113;178;2
341274;PuenteAlto;4;3;122;374;2
115816;PuenteAlto;2;2;49;80;1
709141;Vitacura;3;2;140;310;2
259280;Quilicura;3;2;145;247;4
204234;PuenteAlto;3;2;89;181;3
840598;LaReina;4;3;150;210;2
908587;Peñalolén;5;4;247;1500;5
211706;Santiago;2;1;85;100;
94645;PuenteAlto;3;2;90;110;3
310249;Pudahuel;4;3;137;225;1
448319;LaCisterna;4;3;270;480;4
199253;LaCisterna;3;1;150;331;4
332410;Pudahuel;4;3;129;228;2
1617727;LoBarnechea;6;5;344;702;5
105853;Colina;2;1;52;91;
456509;Colina;3;3;135;135;2
554016;Colina;6;4;170;610;3
108344;PadreHurtado;3;1;65;90;2
576177;Maipu;5;6;217;596;5
109589;PuenteAlto;4;2;80;100;1
199446;PadreHurtado;3;3;84;169;2
95890;Maipu;3;2;55;93;4
206094;Maipu;3;1;89;200;3
336842;Maipu;3;3;155;233;4
155666;Pudahuel;3;2;90;98;1
187036;PuenteAlto;4;3;90;200;2
589473;LasCondes;4;2;110;258;2
248864;PuenteAlto;5;3;178;264;1
193026;Ñuñoa;3;1;40;198;2
157917;PuenteAlto;4;3;80;105;3
332410;Huechuraba;3;3;107;180;2
273973;Conchalí;5;2;182;250;4
188366;LaFlorida;6;3;450;450;
99723;PuenteAlto;3;1;62;74;
250415;PuenteAlto;3;3;99;300;3
618282;LaFlorida;7;4;206;1000;6
356786;Santiago;4;2;119;182;2
97285;LoEspejo;3;1;74;160;4
161893;Maipu;4;2;84;90;2
69738;LaGranja;3;1;53;63;
137396;PuenteAlto;3;1;56;90;1
1683766;LaReina;6;3;295;1150;
1152354;Ñuñoa;11;4;567;702;
143213;Maipu;3;2;62;100;1
186800;LaFlorida;3;2;65;105;1
686980;LasCondes;4;3;200;500;3
354570;LaReina;3;1;88;275;
927771;LasCondes;6;5;180;542;2
1284431;LoBarnechea;7;5;300;5600;10
487534;LasCondes;3;2;122;226;2
325762;Providencia;3;1;91;91;
398448;LaReina;4;2;119;165;1
1500276;LoBarnechea;6;7;520;832;
788033;Providencia;4;3;281;500;4
554016;Vitacura;5;4;130;150;2
494182;LasCondes;3;3;113;253;2
81994;Quilicura;2;1;80;56;1
1595567;Vitacura;5;5;330;560;4
496399;LasCondes;3;2;75;229;3
252631;QuintaNormal;6;2;299;390;6
1573406;LasCondes;4;4;168;233;3
102117;PuenteAlto;4;2;48;123;2
135741;CaleradeTango;4;2;90;140;1
199253;Melipilla;3;3;140;160;2
155666;Recoleta;4;2;100;245;6
146949;Melipilla;6;3;120;140;1
80946;Lampa;2;1;55;70;1
531811;Talagante;3;3;181;5141;3
106371;SanBernardo;5;2;98;107;1
195014;LaFlorida;4;2;123;181;1
1905816;LoBarnechea;4;3;480;1499;4
327534;LasCondes;3;2;83;144;
611634;Colina;4;;270;4500;
513684;Colina;5;4;178;495;
686980;Colina;6;4;240;1110;
309806;Colina;4;3;108;424;
314681;Colina;4;3;115;350;
390027;Colina;5;3;128;422;
997229;Colina;7;5;435;5000;
1365096;LasCondes;5;5;290;500;
1320775;LasCondes;5;5;293;800;
885983;Peñalolén;3;2;200;245;6
575734;Colina;4;4;188;389;
1418281;Colina;7;4;345;3200;
509695;LaFlorida;3;3;325;325;3
277008;Maipu;5;2;120;242;2
877562;Peñalolén;5;6;300;880;4
837672;Peñalolén;4;4;200;625;3
837672;Peñalolén;12;8;561;1860;1
819944;Peñalolén;4;4;180;789;2
381163;LaFlorida;4;3;115;300;3
